080-0000 北海道 帯広市 
089-3304 北海道 中川郡本別町 坂下町
089-3305 北海道 中川郡本別町 共栄
089-3306 北海道 中川郡本別町 チエトイ
089-3307 北海道 中川郡本別町 負箙
089-3308 北海道 中川郡本別町 弥生町
089-3311 北海道 中川郡本別町 柏木町
089-3312 北海道 中川郡本別町 緑町
089-3313 北海道 中川郡本別町 柳町
089-3314 北海道 中川郡本別町 南
089-3321 北海道 中川郡本別町 上本別
089-3322 北海道 中川郡本別町 栄町
089-3323 北海道 中川郡本別町 美里別
089-3324 北海道 中川郡本別町 新町
089-3325 北海道 中川郡本別町 西美里別
089-3326 北海道 中川郡本別町 美里別
089-3327 北海道 中川郡本別町 追名牛
089-3331 北海道 中川郡本別町 錦町
089-3332 北海道 中川郡本別町 朝日町
089-3333 北海道 中川郡本別町 山手町
089-3334 北海道 中川郡本別町 北
089-3334 北海道 中川郡本別町 清流町
089-3392 北海道 中川郡本別町 北
089-3442 北海道 中川郡本別町 美里別
089-3442 北海道 中川郡本別町 美里別
089-3442 北海道 中川郡本別町 美里別
089-3442 北海道 中川郡本別町 美里別
089-3443 北海道 中川郡本別町 西美里別
089-3443 北海道 中川郡本別町 西美里別
089-3443 北海道 中川郡本別町 西美里別
089-3443 北海道 中川郡本別町 西美里別
089-3571 北海道 十勝郡浦幌町 恩根内
089-3572 北海道 十勝郡浦幌町 川流布
089-3573 北海道 十勝郡浦幌町 富川
089-3574 北海道 十勝郡浦幌町 活平
089-3575 北海道 十勝郡浦幌町 美園
089-3576 北海道 十勝郡浦幌町 相川
089-3577 北海道 十勝郡浦幌町 合流
089-3578 北海道 十勝郡浦幌町 宝生
089-3585 北海道 十勝郡浦幌町 川上
089-3586 北海道 十勝郡浦幌町 栄穂
089-3587 北海道 十勝郡浦幌町 貴老路
089-3661 北海道 中川郡本別町 美栄
089-3662 北海道 中川郡本別町 奥仙美里
089-3663 北海道 中川郡本別町 仙美里
089-3664 北海道 中川郡本別町 仙美里元町
089-3665 北海道 中川郡本別町 清里
089-3666 北海道 中川郡本別町 上仙美里
089-3671 北海道 中川郡本別町 木札内
089-3672 北海道 中川郡本別町 追名牛
089-3673 北海道 中川郡本別町 東仙美里
089-3674 北海道 中川郡本別町 下仙美里
089-3675 北海道 中川郡本別町 西仙美里
089-3676 北海道 中川郡本別町 明美
089-3677 北海道 中川郡本別町 美里別
089-3700 北海道 足寄郡足寄町 
089-3701 北海道 足寄郡足寄町 北一条
089-3702 北海道 足寄郡足寄町 北二条
089-3703 北海道 足寄郡足寄町 北三条
089-3704 北海道 足寄郡足寄町 北四条
089-3705 北海道 足寄郡足寄町 北五条
089-3706 北海道 足寄郡足寄町 北六条
089-3707 北海道 足寄郡足寄町 下愛冠
089-3708 北海道 足寄郡足寄町 愛冠
089-3711 北海道 足寄郡足寄町 南一条
089-3712 北海道 足寄郡足寄町 南二条
089-3713 北海道 足寄郡足寄町 南三条
089-3714 北海道 足寄郡足寄町 南四条
089-3715 北海道 足寄郡足寄町 南五条
089-3716 北海道 足寄郡足寄町 南六条
089-3717 北海道 足寄郡足寄町 南七条
089-3718 北海道 足寄郡足寄町 栄町
089-3721 北海道 足寄郡足寄町 旭町
089-3722 北海道 足寄郡足寄町 新町
089-3723 北海道 足寄郡足寄町 中足寄
089-3724 北海道 足寄郡足寄町 稲牛
089-3725 北海道 足寄郡足寄町 平和
089-3726 北海道 足寄郡足寄町 共栄町
089-3727 北海道 足寄郡足寄町 郊南
089-3731 北海道 足寄郡足寄町 中矢
089-3732 北海道 足寄郡足寄町 里見が丘
089-3733 北海道 足寄郡足寄町 西町
089-3734 北海道 足寄郡足寄町 常盤
089-3735 北海道 足寄郡足寄町 美盛
089-3736 北海道 足寄郡足寄町 鷲府
089-3737 北海道 足寄郡足寄町 茂喜登牛
089-3797 北海道 足寄郡足寄町 北一条
089-3871 北海道 足寄郡足寄町 芽登本町
089-3872 北海道 足寄郡足寄町 芽登
089-3873 北海道 足寄郡足寄町 中矢
089-3874 北海道 足寄郡足寄町 喜登牛
089-3875 北海道 足寄郡足寄町 茂喜登牛
089-3961 北海道 足寄郡足寄町 上足寄
089-3962 北海道 足寄郡足寄町 上足寄本町
089-3963 北海道 足寄郡足寄町 上螺湾
089-3964 北海道 足寄郡足寄町 茂足寄
089-3965 北海道 足寄郡足寄町 螺湾
089-3966 北海道 足寄郡足寄町 螺湾本町
089-4141 北海道 足寄郡足寄町 上利別本町
089-4142 北海道 足寄郡足寄町 上利別
089-4143 北海道 足寄郡足寄町 白糸
089-4144 北海道 足寄郡足寄町 大誉地
089-4251 北海道 足寄郡足寄町 大誉地
089-4252 北海道 足寄郡足寄町 大誉地本町
089-4261 北海道 足寄郡陸別町 登良利
089-4262 北海道 足寄郡陸別町 薫別
089-4300 北海道 足寄郡陸別町 
089-4301 北海道 足寄郡陸別町 ウエンベツ
089-4302 北海道 足寄郡陸別町 若葉
089-4303 北海道 足寄郡陸別町 下陸別
089-4304 北海道 足寄郡陸別町 共和
089-4305 北海道 足寄郡陸別町 中陸別
089-4306 北海道 足寄郡陸別町 止若内
089-4307 北海道 足寄郡陸別町 作集
089-4308 北海道 足寄郡陸別町 上陸別
089-4311 北海道 足寄郡陸別町 東一条二区
089-4312 北海道 足寄郡陸別町 共栄第二
089-4313 北海道 足寄郡陸別町 共栄第一
089-4314 北海道 足寄郡陸別町 東一条一区
089-4315 北海道 足寄郡陸別町 大通
089-4316 北海道 足寄郡陸別町 栄町
089-4321 北海道 足寄郡陸別町 恩根内
089-4322 北海道 足寄郡陸別町 新町一区
089-4323 北海道 足寄郡陸別町 新町二区
089-4324 北海道 足寄郡陸別町 旭町
089-4325 北海道 足寄郡陸別町 元町
089-4326 北海道 足寄郡陸別町 緑町
089-4331 北海道 足寄郡陸別町 川向
089-4332 北海道 足寄郡陸別町 関
089-4333 北海道 足寄郡陸別町 殖産
089-4334 北海道 足寄郡陸別町 東斗満
089-4335 北海道 足寄郡陸別町 中斗満
089-4336 北海道 足寄郡陸別町 弥生
089-4337 北海道 足寄郡陸別町 下斗満
089-4341 北海道 足寄郡陸別町 苫務
089-4342 北海道 足寄郡陸別町 上斗満
089-4343 北海道 足寄郡陸別町 南斗満
089-4344 北海道 足寄郡陸別町 西斗満
089-4345 北海道 足寄郡陸別町 北斗満
089-4346 北海道 足寄郡陸別町 ポントマム
089-4351 北海道 足寄郡陸別町 勲祢別
089-4352 北海道 足寄郡陸別町 分線
089-4353 北海道 足寄郡陸別町 川上
089-4354 北海道 足寄郡陸別町 日宗
089-4355 北海道 足寄郡陸別町 小利別
089-4356 北海道 足寄郡陸別町 林内
089-4357 北海道 足寄郡陸別町 利上
089-5231 北海道 中川郡豊頃町 豊頃佐々田町
089-5232 北海道 中川郡豊頃町 豊頃旭町
089-5233 北海道 中川郡豊頃町 豊頃南町
089-5234 北海道 中川郡豊頃町 中央新町
089-5235 北海道 中川郡豊頃町 中央若葉町
089-5241 北海道 中川郡豊頃町 育素多
089-5242 北海道 中川郡豊頃町 北栄
089-5243 北海道 中川郡豊頃町 十弗宝町
089-5244 北海道 中川郡豊頃町 十弗
089-5245 北海道 中川郡豊頃町 礼文内
089-5246 北海道 中川郡豊頃町 豊頃
089-5247 北海道 中川郡豊頃町 幌岡
089-5300 北海道 中川郡豊頃町 
089-5301 北海道 中川郡豊頃町 統内
089-5302 北海道 中川郡豊頃町 礼作別
089-5303 北海道 中川郡豊頃町 農野牛
089-5304 北海道 中川郡豊頃町 牛首別
089-5305 北海道 中川郡豊頃町 背負
089-5306 北海道 中川郡豊頃町 安骨
089-5307 北海道 中川郡豊頃町 旅来
089-5308 北海道 中川郡豊頃町 湧洞
089-5309 北海道 中川郡豊頃町 二宮
089-5311 北海道 中川郡豊頃町 茂岩新和町
089-5312 北海道 中川郡豊頃町 茂岩本町
089-5313 北海道 中川郡豊頃町 茂岩栄町
089-5314 北海道 中川郡豊頃町 茂岩末広町
089-5315 北海道 中川郡豊頃町 茂岩
089-5392 北海道 中川郡豊頃町 茂岩本町
089-5393 北海道 中川郡豊頃町 中央若葉町
089-5461 北海道 中川郡豊頃町 大津元町
089-5462 北海道 中川郡豊頃町 大津幸町
089-5463 北海道 中川郡豊頃町 大津寿町
089-5464 北海道 中川郡豊頃町 大津港町
089-5465 北海道 中川郡豊頃町 大津
089-5466 北海道 中川郡豊頃町 長節
089-5541 北海道 十勝郡浦幌町 吉野
089-5542 北海道 十勝郡浦幌町 共栄
089-5543 北海道 十勝郡浦幌町 平和
089-5544 北海道 十勝郡浦幌町 統太
089-5545 北海道 十勝郡浦幌町 養老
089-5546 北海道 十勝郡浦幌町 朝日
089-5547 北海道 十勝郡浦幌町 生剛
089-5548 北海道 十勝郡浦幌町 十勝太
089-5551 北海道 十勝郡浦幌町 愛牛
089-5552 北海道 十勝郡浦幌町 豊北
089-5553 北海道 十勝郡浦幌町 打内
089-5554 北海道 十勝郡浦幌町 大平
089-5555 北海道 十勝郡浦幌町 トイトッキ
089-5556 北海道 十勝郡浦幌町 鼈奴
089-5557 北海道 十勝郡浦幌町 ヌタベット
089-5558 北海道 十勝郡浦幌町 昆布刈石
089-5600 北海道 十勝郡浦幌町 
089-5601 北海道 十勝郡浦幌町 宝町
089-5602 北海道 十勝郡浦幌町 末広町
089-5603 北海道 十勝郡浦幌町 本町
089-5604 北海道 十勝郡浦幌町 栄町
089-5605 北海道 十勝郡浦幌町 緑町
089-5606 北海道 十勝郡浦幌町 住吉町
089-5607 北海道 十勝郡浦幌町 材木町
089-5608 北海道 十勝郡浦幌町 西町
089-5611 北海道 十勝郡浦幌町 寿町
089-5612 北海道 十勝郡浦幌町 東山町
089-5613 北海道 十勝郡浦幌町 幸町
089-5614 北海道 十勝郡浦幌町 桜町
089-5615 北海道 十勝郡浦幌町 新町
089-5617 北海道 十勝郡浦幌町 光南
089-5617 北海道 十勝郡浦幌町 南町
089-5621 北海道 十勝郡浦幌町 北町
089-5622 北海道 十勝郡浦幌町 北栄
089-5631 北海道 十勝郡浦幌町 瀬多来
089-5632 北海道 十勝郡浦幌町 留真
089-5633 北海道 十勝郡浦幌町 常豊
089-5633 北海道 十勝郡浦幌町 常室
089-5633 北海道 十勝郡浦幌町 福山
089-5633 北海道 十勝郡浦幌町 円山
089-5634 北海道 十勝郡浦幌町 帯富
089-5634 北海道 十勝郡浦幌町 時和
089-5635 北海道 十勝郡浦幌町 静内
089-5636 北海道 十勝郡浦幌町 千歳町
089-5636 北海道 十勝郡浦幌町 万年
089-5637 北海道 十勝郡浦幌町 稲穂
089-5638 北海道 十勝郡浦幌町 幾栄
089-5638 北海道 十勝郡浦幌町 幾千世
089-5692 北海道 十勝郡浦幌町 桜町
089-5695 北海道 十勝郡浦幌町 新町
089-5865 北海道 十勝郡浦幌町 厚内
089-5866 北海道 十勝郡浦幌町 上厚内
089-5867 北海道 十勝郡浦幌町 オコッペ
089-5868 北海道 十勝郡浦幌町 昆布刈石
089-5869 北海道 十勝郡浦幌町 チプネオコッペ
